"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R47","RESC2012N_ZERO","6140.625mil","4843.75mil","6140.625mil","4843.75mil","6179.995mil","4843.75mil","B","180.00","0805"
"R46","RESC2012N_ZERO","6515.625mil","4093.75mil","6515.625mil","4093.75mil","6554.995mil","4093.75mil","B","180.00","0805"
"R45","RESC2012N_ZERO","5953.125mil","3343.75mil","5953.125mil","3343.75mil","5992.495mil","3343.75mil","B","180.00","0805"
"R44","RESC2012N_ZERO","6328.125mil","2593.75mil","6328.125mil","2593.75mil","6367.495mil","2593.75mil","B","180.00","0805"
"R43","RESC2012N_ZERO","16640.625mil","4093.75mil","16640.625mil","4093.75mil","16679.995mil","4093.75mil","B","180.00","0805"
"R42","RESC2012N_ZERO","6796.875mil","5968.75mil","6796.875mil","5968.75mil","6836.245mil","5968.75mil","B","180.00","0805"
"R41","RESC2012N_ZERO","5390.625mil","4843.75mil","5390.625mil","4843.75mil","5429.995mil","4843.75mil","B","180.00","0805"
"R40","RESC2012N_ZERO","5765.625mil","4093.75mil","5765.625mil","4093.75mil","5804.995mil","4093.75mil","B","180.00","0805"
"R39","RESC2012N_ZERO","5203.125mil","3343.75mil","5203.125mil","3343.75mil","5242.495mil","3343.75mil","B","180.00","0805"
"R38","RESC2012N_ZERO","5578.125mil","2593.75mil","5578.125mil","2593.75mil","5617.495mil","2593.75mil","B","180.00","0805"
"R37","RESC2012N_ZERO","16640.625mil","4843.75mil","16640.625mil","4843.75mil","16679.995mil","4843.75mil","B","180.00","0805"
"R36","RESC2012N_ZERO","5484.375mil","5968.75mil","5484.375mil","5968.75mil","5523.745mil","5968.75mil","B","180.00","0805"
"R35","RESC2012N_ZERO","4640.625mil","4843.75mil","4640.625mil","4843.75mil","4679.995mil","4843.75mil","B","180.00","0805"
"R34","RESC2012N_ZERO","5015.625mil","4093.75mil","5015.625mil","4093.75mil","5054.995mil","4093.75mil","B","180.00","0805"
"R33","RESC2012N_ZERO","4453.125mil","3343.75mil","4453.125mil","3343.75mil","4492.495mil","3343.75mil","B","180.00","0805"
"R32","RESC2012N_ZERO","4828.125mil","2593.75mil","4828.125mil","2593.75mil","4867.495mil","2593.75mil","B","180.00","0805"
"R31","RESC2012N_ZERO","17390.625mil","2218.75mil","17390.625mil","2218.75mil","17429.995mil","2218.75mil","B","180.00","0805"
"R30","RESC2012N_ZERO","4546.875mil","5968.75mil","4546.875mil","5968.75mil","4586.245mil","5968.75mil","B","180.00","0805"
"R29","RESC2012N_ZERO","3890.625mil","4843.75mil","3890.625mil","4843.75mil","3929.995mil","4843.75mil","B","180.00","0805"
"R28","RESC2012N_ZERO","4265.625mil","4093.75mil","4265.625mil","4093.75mil","4304.995mil","4093.75mil","B","180.00","0805"
"R27","RESC2012N_ZERO","3703.125mil","3343.75mil","3703.125mil","3343.75mil","3742.495mil","3343.75mil","B","180.00","0805"
"R26","RESC2012N_ZERO","4078.125mil","2593.75mil","4078.125mil","2593.75mil","4117.495mil","2593.75mil","B","180.00","0805"
"R25","RESC2012N_ZERO","17390.625mil","4093.75mil","17390.625mil","4093.75mil","17429.995mil","4093.75mil","B","180.00","0805"
"R24","RESC2012N_ZERO","3609.375mil","5968.75mil","3609.375mil","5968.75mil","3648.745mil","5968.75mil","B","180.00","0805"
"R23","RESC2012N_ZERO","3140.625mil","4843.75mil","3140.625mil","4843.75mil","3179.995mil","4843.75mil","B","180.00","0805"
"R22","RESC2012N_ZERO","3515.625mil","4093.75mil","3515.625mil","4093.75mil","3554.995mil","4093.75mil","B","180.00","0805"
"R21","RESC2012N_ZERO","2953.125mil","3343.75mil","2953.125mil","3343.75mil","2992.495mil","3343.75mil","B","180.00","0805"
"R20","RESC2012N_ZERO","3328.125mil","2593.75mil","3328.125mil","2593.75mil","3367.495mil","2593.75mil","B","180.00","0805"
"R19","RESC2012N_ZERO","17390.625mil","4843.75mil","17390.625mil","4843.75mil","17429.995mil","4843.75mil","B","180.00","0805"
"R18","RESC2012N_ZERO","2671.875mil","5968.75mil","2671.875mil","5968.75mil","2711.245mil","5968.75mil","B","180.00","0805"
"R17","RESC2012N_ZERO","2390.625mil","4843.75mil","2390.625mil","4843.75mil","2429.995mil","4843.75mil","B","180.00","0805"
"R16","RESC2012N_ZERO","2765.625mil","4093.75mil","2765.625mil","4093.75mil","2804.995mil","4093.75mil","B","180.00","0805"
"R15","RESC2012N_ZERO","2203.125mil","3343.75mil","2203.125mil","3343.75mil","2242.495mil","3343.75mil","B","180.00","0805"
"R14","RESC2012N_ZERO","2578.125mil","2593.75mil","2578.125mil","2593.75mil","2617.495mil","2593.75mil","B","180.00","0805"
"R13","RESC2012N_ZERO","5953.125mil","1843.75mil","5953.125mil","1843.75mil","5992.495mil","1843.75mil","B","180.00","0805"
"R12","RESC2012N_ZERO","1734.375mil","5968.75mil","1734.375mil","5968.75mil","1773.745mil","5968.75mil","B","180.00","0805"
"R11","RESC2012N_ZERO","1640.625mil","4843.75mil","1640.625mil","4843.75mil","1679.995mil","4843.75mil","B","180.00","0805"
"R10","RESC2012N_ZERO","2015.625mil","4093.75mil","2015.625mil","4093.75mil","2054.995mil","4093.75mil","B","180.00","0805"
"R9","RESC2012N_ZERO","13836.875mil","5330mil","13836.875mil","5330mil","13836.875mil","5290.63mil","T","90.00","0805"
"R8","RESC2012N_ZERO","1828.125mil","2593.75mil","1828.125mil","2593.75mil","1867.495mil","2593.75mil","B","180.00","0805"
"R7","RESC2012N_ZERO","2109.375mil","1843.75mil","2109.375mil","1843.75mil","2148.745mil","1843.75mil","B","180.00","0805"
"R6","RESC2012N_ZERO","515.625mil","5968.75mil","515.625mil","5968.75mil","554.995mil","5968.75mil","B","180.00","0805"
"R5","RESC2012N_ZERO","703.125mil","4843.75mil","703.125mil","4843.75mil","742.495mil","4843.75mil","B","180.00","0805"
"R4","RESC2012N_ZERO","890.625mil","4093.75mil","890.625mil","4093.75mil","929.995mil","4093.75mil","B","180.00","0805"
"R3","RESC2012N_ZERO","609.375mil","3343.75mil","609.375mil","3343.75mil","648.745mil","3343.75mil","B","180.00","0805"
"R2","RESC2012N_ZERO","796.875mil","2593.75mil","796.875mil","2593.75mil","836.245mil","2593.75mil","B","180.00","0805"
"R1","RESC2012N_ZERO","1171.875mil","1843.75mil","1171.875mil","1843.75mil","1211.245mil","1843.75mil","B","180.00","0805"
"C1","CAPC2012X135N","13866.875mil","5490mil","13866.875mil","5490mil","13831.442mil","5490mil","T","0.00","0805"
"P1","HDR1X4","15176.875mil","5550mil","15176.875mil","5700mil","15176.875mil","5700mil","T","270.00","SWIM"
"P2","HDR1X8","13709.375mil","5875mil","13359.375mil","5875mil","13359.375mil","5875mil","T","360.00","Amiga Keyboard"
"R97","RESC2012N_ZERO","15286.875mil","5440mil","15286.875mil","5440mil","15286.875mil","5400.63mil","T","90.00","0805"
"R98","RESC2012N_ZERO","14296.875mil","5370mil","14296.875mil","5370mil","14336.245mil","5370mil","T","180.00","0805"
"R99","RESC2012N_ZERO","14596.875mil","5770mil","14596.875mil","5770mil","14636.245mil","5770mil","T","180.00","0805"
"R100","RESC2012N_ZERO","14536.875mil","5690mil","14536.875mil","5690mil","14576.245mil","5690mil","T","180.00","0805"
"R101","RESC2012N_ZERO","14476.875mil","5610mil","14476.875mil","5610mil","14516.245mil","5610mil","T","180.00","0805"
"R102","RESC2012N_ZERO","14416.875mil","5530mil","14416.875mil","5530mil","14456.245mil","5530mil","T","180.00","0805"
"R103","RESC2012N_ZERO","14356.875mil","5450mil","14356.875mil","5450mil","14396.245mil","5450mil","T","180.00","0805"
"U1","LQFP32_M","13546.875mil","5500mil","13546.875mil","5500mil","13714.198mil","5389.764mil","T","180.00","STM8S003K3"
"ST15","CHERRYMX_STAB","515.625mil","3837.5mil","515.625mil","3812.5mil","515.625mil","3537.5mil","T","180.00","Cherry MX Stabilizer"
"ST16","CHERRYMX_STAB","1453.125mil","3837.5mil","1453.125mil","3812.5mil","1453.125mil","3537.5mil","T","180.00","Cherry MX Stabilizer"
"C2","CAPC2012X135N","13866.875mil","5570mil","13866.875mil","5570mil","13831.442mil","5570mil","T","0.00","0805"

