"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"SW89","CHERRYMX_5PIN","11484.375mil","4562.5mil","11484.375mil","4562.5mil","11634.375mil","4462.5mil","T","180.00","BackSpace"
"SW88","CHERRYMX_5PIN","13921.875mil","4562.5mil","13921.875mil","4562.5mil","14071.875mil","4462.5mil","T","180.00","Help"
"SW87","CHERRYMX_5PIN","13359.375mil","3062.5mil","13359.375mil","3062.5mil","13509.375mil","2962.5mil","T","180.00","Up"
"SW86","CHERRYMX_5PIN","13359.375mil","2312.5mil","13359.375mil","2312.5mil","13509.375mil","2212.5mil","T","180.00","Down"
"SW85","CHERRYMX_5PIN","15984.375mil","3812.5mil","15984.375mil","3812.5mil","16134.375mil","3712.5mil","T","180.00","Num. 8"
"SW84","CHERRYMX_5PIN","15234.375mil","2312.5mil","15234.375mil","2312.5mil","15384.375mil","2212.5mil","T","180.00","Num. 1"
"SW83","CHERRYMX_5PIN","10734.375mil","4562.5mil","10734.375mil","4562.5mil","10884.375mil","4462.5mil","T","180.00","\"
"SW82","CHERRYMX_5PIN","11390.625mil","3437.5mil","11390.625mil","3437.5mil","11540.625mil","3337.5mil","T","180.00","Enter"
"SW81","CHERRYMX_5PIN","10546.875mil","3062.5mil","10546.875mil","3062.5mil","10696.875mil","2962.5mil","T","180.00","#"
"SW80","CHERRYMX_5PIN","12609.375mil","2312.5mil","12609.375mil","2312.5mil","12759.375mil","2212.5mil","T","180.00","Left"
"SW79","CHERRYMX_5PIN","15609.375mil","1562.5mil","15609.375mil","1562.5mil","15759.375mil","1462.5mil","T","180.00","Num. 0"
"SW78","CHERRYMX_5PIN","15984.375mil","2312.5mil","15984.375mil","2312.5mil","16134.375mil","2212.5mil","T","180.00","Num. 2"
"SW77","CHERRYMX_5PIN","9984.375mil","4562.5mil","9984.375mil","4562.5mil","10134.375mil","4462.5mil","T","180.00","'"
"SW76","CHERRYMX_5PIN","10359.375mil","3812.5mil","10359.375mil","3812.5mil","10509.375mil","3712.5mil","T","180.00","+"
"SW75","CHERRYMX_5PIN","9796.875mil","3062.5mil","9796.875mil","3062.5mil","9946.875mil","2962.5mil","T","180.00","Ä"
